Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468030,38705,128248,171543,93946,23929,6309,5350,299638,18826,14350,12802,15061,14384,15389,14101,14912,12532,22984,32506,41610,27368,15473,13659,13681
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7817508,849597,2669316,2258567,1278763,554000,124512,82753,4585084,372320,257489,264002,263909,246136,254509,230658,226972,197727,377099,470354,550260,345114,193551,179401,155583
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2512392,328201,796141,781821,405388,143223,33669,23949,1455321,116153,89253,87246,89029,83610,84694,77100,74571,64657,122996,150043,167149,102368,53318,48122,45012
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2714972,277297,659119,943499,522634,218853,54779,38791,1533430,112551,81573,86102,84305,82653,81517,76170,76902,65775,124834,160170,192015,119929,68906,61962,58066
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8814112,950001,3207989,2134085,1535222,702244,165557,119014,4958859,343017,264879,268116,261337,254071,254354,229315,233860,207589,403539,508901,619923,406185,238450,237241,228082
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720641,99747,196988,194089,137505,65026,15246,12040,410602,32277,22777,20447,20302,18336,18944,17104,17406,15589,29918,39227,52869,36091,23630,24479,21206
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3210007,463330,955658,961479,530349,221384,45090,32717,1815094,160030,116567,112481,113343,106166,103562,95753,91524,79090,148502,180498,204041,123026,67800,60171,52540
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551039,49913,172522,179803,104728,30862,7085,6126,330858,20406,18403,16691,18746,18259,18726,17941,16949,16035,28641,36817,45058,25052,12355,10046,10733
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380036,636138,1445466,1206156,696512,274650,69535,51579,2504556,214261,158757,158314,158693,148755,146706,134230,127532,109327,206546,248182,275150,164446,89851,82552,81254
"48","04000US48","Texas","Texas","tx","040","00","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16765143,3027897,4220317,4893713,3054382,1134567,256346,177921,9149196,658087,469798,480097,499771,470105,476663,436072,427713,382519,724264,903827,1075935,748718,447745,463766,484116
"49","04000US49","Utah","Utah","ut","040","00","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674198,146833,388126,618202,347460,122889,27671,23017,906292,44761,34538,35882,41751,40986,42131,41947,42720,40649,81495,109762,135492,85082,47429,43846,37821
"50","04000US50","Vermont","Vermont","vt","040","00","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436657,35785,131270,112584,94705,44184,10322,7807,257167,14122,14499,13571,13007,12395,13251,12068,12223,11553,21708,28153,35822,22165,11810,11388,9432
"51","04000US51","Virginia","Virginia","va","040","00","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5566373,648934,1381751,1513471,1167357,624786,135221,94853,3062783,176500,125763,125093,129561,128370,131658,127425,128951,116210,231726,299428,390630,291421,191138,220714,248195
"53","04000US53","Washington","Washington","wa","040","00","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4721438,451591,1097839,1619878,986653,401488,96813,67176,2668912,162559,110156,113536,121452,114389,126984,117347,119297,109832,213934,282968,358433,248928,156803,161420,150874
"54","04000US54","West Virginia","West Virginia","wv","040","00","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298118,195354,528555,325536,152377,69161,16676,10459,740890,74206,51381,52895,51467,44903,42885,38967,37697,33909,59078,70695,79720,44789,23481,19093,15724
"55","04000US55","Wisconsin","Wisconsin","wi","040","00","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3873119,347428,1239523,1208472,713858,261565,60886,41387,2299107,135178,118516,120015,126410,118906,124306,111823,114652,104148,198647,253980,310541,195229,102734,88992,75030
"56","04000US56","Wyoming","Wyoming","wy","040","00","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384272,29566,112872,143034,65787,23501,4932,4580,226865,10886,10540,10358,11900,10743,11692,10066,10661,10048,18429,24675,32540,23024,13347,10701,7255
"72","04000US72","Puerto Rico","Puerto Rico","pr","040","00","ACSSF","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2414831,650897,653759,526603,420722,110715,29771,22364,1244202,360761,147226,129005,100137,80361,71277,57031,47537,38714,60023,57890,44660,21037,10052,10019,8472
